ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Cluster
459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,0
459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,0
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,1
465656,Male,Yes,78,No,Lawyer,1.0,Low,,4
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,0
461631,Male,No,29,No,Marketing,8.0,Low,5.0,2
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,0
461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,4
467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,1
464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,3
464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,4
467959,Female,No,26,No,Engineer,0.0,Low,1.0,1
467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,0
460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,0
466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,2
461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,0
465662,Male,Yes,76,No,Executive,1.0,Low,1.0,4
459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,0
466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,4
459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,3
465710,Female,No,49,Yes,Artist,1.0,Low,1.0,1
460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,2
462813,Male,Yes,37,No,Executive,0.0,Average,5.0,3
463595,Female,No,32,No,Healthcare,1.0,Low,5.0,2
467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,3
465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0,0
462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,0
463497,Male,No,32,Yes,Artist,0.0,Low,5.0,2
465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,0
464702,Male,Yes,59,No,Artist,2.0,Average,2.0,3
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,3
465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,4
459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,4
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,1
458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,4
467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,3
464866,Female,No,23,No,Engineer,11.0,Low,1.0,1
461081,Female,No,20,No,Healthcare,2.0,Low,6.0,2
467896,Female,No,22,No,Healthcare,4.0,Low,3.0,2
463991,Female,No,31,Yes,Engineer,8.0,Low,1.0,1
466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0,0
462594,Male,Yes,52,No,Entertainment,,Average,5.0,3
462206,Female,No,29,Yes,Artist,,Low,1.0,1
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,3
467934,Female,No,40,Yes,Artist,1.0,Low,1.0,1
460054,Male,Yes,38,Yes,Artist,,Low,2.0,3
459576,Female,Yes,85,No,Lawyer,,Low,,4
467910,Female,No,21,No,Doctor,1.0,Low,3.0,2
467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,0
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,3
459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,3
465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,0
459395,Male,Yes,42,No,Executive,8.0,Low,2.0,3
467539,Male,Yes,48,Yes,Artist,,Average,4.0,3
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,3
466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,3
463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0,0
465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,0
459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,3
467614,Male,Yes,35,No,Artist,4.0,Average,2.0,3
459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0,1
466065,Male,,19,No,Healthcare,9.0,Low,3.0,2
464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,2
460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,0
459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,3
466613,Male,No,23,No,Healthcare,8.0,Low,3.0,2
461149,Female,No,23,No,Healthcare,0.0,Low,3.0,2
466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,0
461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,1
464761,Female,Yes,50,No,Engineer,,Average,4.0,0
466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,0
459664,Male,No,37,Yes,Artist,2.0,Low,1.0,1
461967,Female,No,20,No,Marketing,3.0,Low,4.0,2
460516,Female,,85,No,Lawyer,0.0,High,1.0,4
461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,0
462742,Male,No,18,No,Healthcare,0.0,Low,3.0,2
459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,0
462691,Male,Yes,25,No,Doctor,,Average,2.0,3
462934,Male,Yes,56,No,Executive,,High,2.0,4
465837,Male,No,62,Yes,,0.0,Low,1.0,1
464613,Female,No,35,,Artist,0.0,Low,3.0,1
467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,3
463429,Female,No,28,Yes,Artist,7.0,Low,3.0,1
464024,Male,No,20,No,Healthcare,0.0,Low,5.0,2
460691,Female,No,27,No,Homemaker,8.0,Low,1.0,1
461825,Female,No,56,No,Engineer,,Low,1.0,1
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,3
465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,2
464801,Male,No,40,No,Marketing,1.0,Low,1.0,2
459429,Female,Yes,25,Yes,Healthcare,,Low,2.0,0
459888,Female,Yes,74,No,Lawyer,,High,2.0,4
463467,Female,No,23,No,Healthcare,0.0,Low,4.0,2
462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,4
461282,Male,No,21,No,Healthcare,0.0,Low,4.0,2
460448,Female,No,38,Yes,Artist,9.0,Low,1.0,1
464464,Male,No,28,No,Healthcare,0.0,Low,4.0,2
462410,Female,No,32,No,Healthcare,1.0,Low,5.0,2
467252,Female,No,33,Yes,,0.0,Low,4.0,1
459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,4
463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0,0
466947,Male,Yes,57,No,Executive,1.0,High,5.0,3
464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,0
465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,0
461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0,3
466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0,0
461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,3
462438,Male,No,22,No,Doctor,1.0,Low,3.0,2
460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,3
464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0,3
467050,Female,No,21,No,Engineer,0.0,Low,5.0,2
460738,Female,No,49,No,Engineer,1.0,Low,,2
466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,1
459488,Male,Yes,47,No,Artist,,Average,4.0,3
467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,4
465425,Female,No,31,No,Engineer,1.0,Low,4.0,2
462318,Female,Yes,82,No,Lawyer,0.0,Average,2.0,4
466078,Female,Yes,51,No,Executive,,Low,1.0,0
460792,Female,No,42,No,Homemaker,11.0,Low,,2
460197,Male,No,38,Yes,Artist,8.0,Low,3.0,1
459375,Male,Yes,18,No,Executive,0.0,High,4.0,3
463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0,3
460144,Female,No,46,Yes,Doctor,1.0,Low,,1
462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,4
459637,Female,No,33,No,Engineer,,Low,4.0,2
465809,Female,No,25,No,Homemaker,1.0,Low,7.0,2
466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,4
467343,Male,No,72,Yes,Artist,1.0,Low,1.0,1
466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,0
464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,3
464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0,3
460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,1
462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,1
464841,Male,,19,No,Entertainment,0.0,High,3.0,3
464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,3
464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,0
467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,4
465974,Male,Yes,52,Yes,Executive,7.0,High,4.0,3
462075,Female,No,40,Yes,Artist,1.0,Low,1.0,1
459494,Female,Yes,69,No,Engineer,9.0,Low,3.0,0
466921,Female,No,22,No,Healthcare,3.0,Low,3.0,2
463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0,3
461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0,4
467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,3
462408,Male,No,32,Yes,Artist,1.0,Low,2.0,1
466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0,1
465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0,3
467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0,1
460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0,1
461197,Male,No,28,No,Marketing,0.0,Low,1.0,2
462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,0
465058,Female,No,43,,Entertainment,,Low,1.0,1
464088,Male,No,27,No,Doctor,1.0,Low,3.0,2
459471,Female,No,32,No,Artist,,Low,8.0,2
464695,Male,No,26,No,Engineer,0.0,Low,4.0,2
462331,Female,No,31,No,Entertainment,0.0,Low,2.0,2
466523,Male,Yes,39,Yes,Executive,1.0,High,3.0,3
465337,Female,Yes,43,No,Engineer,1.0,Low,3.0,0
460834,Male,Yes,25,No,Doctor,1.0,Low,2.0,3
466824,Male,Yes,40,Yes,Artist,3.0,High,3.0,3
461607,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,0
465091,Male,Yes,63,Yes,Entertainment,,Average,3.0,3
459532,Female,Yes,27,Yes,Healthcare,,Low,2.0,0
466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0,1
466597,Female,No,19,No,Healthcare,1.0,Low,2.0,2
464075,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,4
463394,Male,Yes,41,Yes,Marketing,,High,2.0,4
462163,Female,Yes,27,Yes,Artist,4.0,Average,2.0,0
463895,Female,Yes,70,No,Doctor,0.0,Average,2.0,0
464767,Female,Yes,53,No,Engineer,8.0,Average,4.0,0
464763,Female,Yes,49,No,Engineer,,Average,4.0,0
460718,Male,Yes,55,No,Executive,3.0,Low,,3
461989,Female,,57,Yes,Engineer,0.0,Average,4.0,0
466374,Male,Yes,83,No,Lawyer,,Low,1.0,4
463738,Male,Yes,43,No,Executive,0.0,High,4.0,3
465967,Male,Yes,36,No,Doctor,6.0,Low,3.0,3
462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,4
467234,Female,No,30,No,Homemaker,0.0,Low,4.0,2
466573,Female,No,37,Yes,Artist,5.0,Low,2.0,1
463229,Female,No,22,No,Marketing,0.0,Low,1.0,2
459768,Male,No,19,No,Healthcare,0.0,Low,4.0,2
462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0,3
467714,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,4
467730,Male,No,18,No,Healthcare,,Low,4.0,2
459474,Male,No,25,Yes,Doctor,6.0,Low,1.0,1
460093,Female,No,45,Yes,Artist,4.0,Low,1.0,1
467865,Female,No,35,Yes,Artist,3.0,Low,1.0,1
465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,0
464184,Female,Yes,39,No,Engineer,4.0,Average,2.0,0
462618,Female,No,32,Yes,Healthcare,1.0,Low,5.0,2
464226,Female,Yes,62,Yes,Artist,2.0,Average,3.0,0
465432,Female,Yes,58,Yes,Engineer,0.0,Average,4.0,0
464087,Female,No,32,No,Engineer,,Low,4.0,2
466627,Male,No,25,No,Healthcare,0.0,Low,5.0,2
467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0,0
465842,Female,No,36,Yes,Entertainment,10.0,Low,2.0,1
464622,Female,No,30,No,Healthcare,8.0,Low,3.0,2
462083,Male,No,19,No,Healthcare,1.0,Low,5.0,2
460910,Male,No,27,Yes,Healthcare,0.0,Low,2.0,1
460255,Female,No,38,Yes,Doctor,14.0,Low,1.0,1
460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0,3
464306,Male,No,29,Yes,Artist,3.0,Low,1.0,1
466835,Male,Yes,51,No,Entertainment,1.0,Average,4.0,3
465192,Male,Yes,55,No,Artist,0.0,Low,1.0,3
463380,Female,Yes,69,Yes,Engineer,1.0,Low,1.0,0
462391,Female,No,26,No,Healthcare,1.0,Low,8.0,2
467086,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,4
460306,Female,No,39,Yes,Healthcare,9.0,Low,1.0,1
460752,Male,Yes,35,Yes,Artist,9.0,Low,1.0,3
467264,Male,Yes,19,No,Marketing,2.0,High,5.0,2
461646,Female,Yes,60,Yes,Artist,,High,4.0,0
463570,Male,Yes,35,Yes,Artist,,Average,4.0,3
465277,Female,No,53,Yes,Engineer,,Low,1.0,1
467426,Female,Yes,86,No,Lawyer,,Low,,4
466258,Female,No,29,No,Healthcare,1.0,Low,3.0,2
463719,Female,No,26,No,Doctor,0.0,Low,1.0,1
460032,Male,No,36,Yes,Engineer,8.0,Low,1.0,1
465175,Female,No,22,No,Homemaker,0.0,Low,4.0,2
466610,Male,No,19,No,Marketing,0.0,Low,5.0,2
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,0
464047,Male,No,43,Yes,Healthcare,3.0,Low,3.0,1
459496,Female,No,42,Yes,Artist,,Low,3.0,1
459997,Male,No,43,Yes,Entertainment,1.0,Low,2.0,1
463382,Female,Yes,50,Yes,Engineer,4.0,High,3.0,0
460967,Male,No,25,Yes,Entertainment,1.0,Low,2.0,1
465094,Male,Yes,61,No,Artist,1.0,High,2.0,3
461229,Female,Yes,28,Yes,Healthcare,0.0,Average,2.0,0
466442,Male,No,38,Yes,Artist,1.0,Low,1.0,1
464527,Male,No,25,No,Executive,12.0,Low,3.0,2
463560,Female,No,18,No,Healthcare,9.0,Low,5.0,2
460011,Male,Yes,43,Yes,Entertainment,1.0,Average,5.0,3
467207,Female,No,27,Yes,Artist,8.0,Low,1.0,1
465177,Female,No,60,Yes,Entertainment,1.0,Low,2.0,1
467531,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,4
465409,Female,No,31,No,Doctor,,Low,4.0,2
462842,Male,No,23,No,Doctor,6.0,Low,4.0,2
462124,Male,No,36,Yes,Artist,8.0,Low,1.0,1
466265,Male,No,30,No,Doctor,1.0,Low,1.0,1
459789,Male,Yes,56,No,Artist,1.0,Average,2.0,3
464223,Female,Yes,52,Yes,Artist,2.0,Low,2.0,0
460280,Male,Yes,39,Yes,Entertainment,0.0,Low,1.0,3
460331,Female,No,35,No,Artist,5.0,Low,1.0,1
461494,Male,Yes,33,No,Engineer,0.0,Average,2.0,3
460035,Female,No,25,Yes,Artist,0.0,Low,6.0,2
463812,Female,Yes,27,Yes,Artist,0.0,Average,2.0,0
465569,Male,Yes,35,Yes,Artist,1.0,High,3.0,3
466333,Female,Yes,41,Yes,Artist,1.0,Average,2.0,0
467668,Female,Yes,49,Yes,Artist,,Average,3.0,0
462723,Female,Yes,46,No,Artist,8.0,Average,2.0,0
460909,Female,No,31,No,Healthcare,,Low,2.0,2
467777,Male,No,49,Yes,Doctor,,Low,1.0,1
462404,Female,No,26,Yes,Artist,9.0,Low,1.0,1
461799,Male,Yes,43,Yes,Doctor,13.0,High,2.0,3
459933,Female,Yes,30,Yes,Artist,8.0,Low,4.0,0
463717,Female,Yes,70,Yes,Artist,1.0,Average,4.0,0
463652,Female,No,28,Yes,Artist,,Low,1.0,1
462149,Female,Yes,89,No,Lawyer,3.0,High,1.0,4
462769,Female,Yes,42,No,Homemaker,6.0,High,4.0,0
465532,Female,Yes,37,Yes,Entertainment,6.0,Average,3.0,0
462829,Male,Yes,29,No,Executive,1.0,Average,3.0,3
459210,Female,Yes,68,Yes,Artist,1.0,High,2.0,0
464659,Female,No,25,No,Engineer,1.0,Low,1.0,1
461411,Male,No,29,No,Healthcare,1.0,Low,,2
467759,Female,Yes,48,Yes,Doctor,0.0,Low,2.0,0
461475,Female,Yes,51,Yes,Doctor,1.0,Average,3.0,0
462714,Female,Yes,40,Yes,Engineer,1.0,High,5.0,0
466890,Male,Yes,47,Yes,Artist,0.0,Average,6.0,3
462888,Male,Yes,39,Yes,Executive,,High,3.0,3
467479,Male,Yes,35,Yes,Executive,1.0,Average,4.0,3
466799,Female,No,19,No,Healthcare,2.0,Low,3.0,2
466557,Female,No,21,No,Healthcare,7.0,Low,,2
460873,Male,Yes,46,Yes,Entertainment,0.0,Average,3.0,3
466776,Male,Yes,86,Yes,Lawyer,0.0,Low,1.0,4
459462,Male,Yes,66,Yes,Artist,0.0,High,2.0,3
465727,Male,No,42,No,Marketing,1.0,Low,5.0,2
462348,Female,Yes,73,Yes,Lawyer,1.0,High,2.0,4
460941,Male,Yes,72,No,Engineer,1.0,Low,1.0,4
461629,Male,Yes,53,Yes,Artist,0.0,Low,3.0,3
459907,Female,Yes,39,Yes,Artist,8.0,Average,2.0,0
467146,Female,No,27,No,Homemaker,9.0,Low,1.0,1
460916,Male,Yes,63,No,Entertainment,1.0,Average,,3
459196,Female,No,23,No,Healthcare,1.0,Low,3.0,2
465444,Female,No,30,Yes,Entertainment,0.0,Low,4.0,1
464186,Female,Yes,39,Yes,Artist,5.0,Average,2.0,0
466412,Male,Yes,26,Yes,Artist,1.0,Average,3.0,3
459480,Female,Yes,50,Yes,Entertainment,7.0,Low,3.0,0
467880,Female,Yes,45,Yes,Artist,1.0,Average,2.0,0
460216,Female,No,62,No,Entertainment,2.0,Low,1.0,1
467941,Female,No,27,Yes,Doctor,1.0,Low,3.0,1
466090,Male,Yes,57,Yes,Entertainment,1.0,Low,,3
462572,Female,Yes,30,No,Engineer,1.0,Average,7.0,2
467443,Male,No,32,No,Healthcare,7.0,Low,4.0,2
462548,Male,No,18,,Executive,,Low,5.0,2
459701,Male,No,47,No,Artist,3.0,Low,3.0,2
461139,Female,No,32,Yes,Artist,4.0,Low,4.0,1
461115,Female,Yes,32,No,Engineer,5.0,Low,3.0,0
459027,Male,Yes,67,Yes,Doctor,1.0,Average,4.0,3
467340,Female,Yes,77,Yes,Lawyer,0.0,High,2.0,4
461410,Male,Yes,79,No,,0.0,Average,2.0,3
